id,name,artist_id,release_year
1,Versatile needs-based data-warehouse,303,1985
2,Self-enabling exuding architecture,12,2023
3,Fully-configurable 6thgeneration capacity,318,2022
4,Ameliorated leadingedge leverage,80,2024
5,Enterprise-wide web-enabled archive,216,2000
6,Visionary systematic encryption,339,2002
7,Fundamental high-level policy,264,2022
8,Integrated tertiary adapter,479,1995
9,Self-enabling background knowledge user,149,1994
10,Extended zero tolerance Graphic Interface,81,2004
11,Robust foreground toolset,215,2015
12,Enhanced methodical knowledgebase,485,1990
13,Seamless real-time info-mediaries,374,1994
14,Integrated systemic interface,464,1983
15,Organic next generation capacity,198,2000
16,Organized 5thgeneration strategy,200,1992
17,Devolved full-range matrix,25,2001
18,Devolved zero tolerance Internet solution,466,1998
19,Intuitive 5thgeneration capability,89,2013
20,Reduced impactful benchmark,268,1993
21,Operative zero tolerance groupware,143,1983
22,Multi-channeled 5thgeneration migration,59,2006
23,Cross-platform 5thgeneration approach,410,2008
24,Focused foreground archive,489,2007
25,Optional zero administration service-desk,365,2014
26,Advanced tertiary parallelism,26,1987
27,Diverse encompassing core,47,1995
28,Switchable hybrid standardization,288,2021
29,Face-to-face multi-state focus group,266,2015
30,Proactive full-range initiative,16,2009
31,Quality-focused transitional contingency,199,1997
32,Up-sized systemic product,401,1981
33,Compatible even-keeled support,407,1992
34,User-friendly hybrid firmware,282,1983
35,Centralized executive array,469,2005
36,Cross-group heuristic open architecture,86,2004
37,Secured human-resource methodology,250,2009
38,Business-focused modular database,391,1990
39,User-friendly actuating data-warehouse,270,1986
40,Enterprise-wide upward-trending orchestration,335,2010
41,Visionary directional matrices,117,2023
42,Horizontal non-volatile portal,7,1989
43,Down-sized motivating implementation,137,2018
44,Configurable demand-driven utilization,371,1992
45,Re-contextualized web-enabled help-desk,176,2010
46,Persistent 6thgeneration hierarchy,328,1986
47,Mandatory logistical access,498,2021
48,Secured context-sensitive adapter,315,2021
49,Optional national software,215,2015
50,Public-key homogeneous ability,477,1999
51,Focused fresh-thinking knowledgebase,82,1983
52,Cloned modular standardization,223,1986
53,Robust web-enabled structure,478,1980
54,Down-sized discrete installation,372,2023
55,Inverse multimedia success,423,2024
56,Implemented secondary capability,483,2021
57,Integrated composite customer loyalty,402,1992
58,User-friendly value-added methodology,443,2001
59,Customizable dynamic Graphic Interface,490,2000
60,Profit-focused 6thgeneration frame,103,2001
61,Seamless fresh-thinking instruction set,273,2007
62,Adaptive disintermediate service-desk,14,1988
63,Seamless incremental definition,159,2005
64,Team-oriented dynamic contingency,152,1988
65,Streamlined next generation toolset,483,1994
66,Function-based client-server neural-net,108,1989
67,Self-enabling tangible capability,188,2003
68,Phased directional circuit,301,2021
69,Function-based secondary artificial intelligence,98,1987
70,Robust bandwidth-monitored algorithm,131,2003
71,Down-sized zero tolerance workforce,293,1995
72,Versatile multi-state workforce,171,2005
73,Proactive foreground hardware,424,2006
74,User-friendly cohesive budgetary management,474,2016
75,Enterprise-wide background firmware,183,1983
76,Automated discrete instruction set,471,2003
77,De-engineered encompassing capacity,364,1998
78,Phased incremental extranet,39,2015
79,User-friendly 5thgeneration orchestration,15,2018
80,Up-sized logistical encryption,376,1989
81,Multi-lateral fresh-thinking Graphic Interface,497,2004
82,Expanded intangible standardization,4,1997
83,Open-source tertiary open architecture,349,1998
84,De-engineered exuding monitoring,470,2015
85,Assimilated optimal framework,409,1989
86,Distributed composite installation,397,2012
87,Multi-tiered scalable software,210,1984
88,Down-sized foreground instruction set,161,2014
89,Universal stable process improvement,16,2023
90,Mandatory national moratorium,493,2013
91,Streamlined multimedia task-force,426,2012
92,Adaptive motivating hierarchy,108,2000
93,Front-line 3rdgeneration extranet,382,1996
94,Organized zero administration migration,450,2001
95,Assimilated disintermediate hardware,311,2016
96,Digitized multi-state flexibility,227,1994
97,Re-engineered bi-directional moderator,170,2014
98,Synchronized mobile groupware,34,2007
99,Programmable non-volatile data-warehouse,414,1986
100,Reactive human-resource time-frame,251,2011
101,Synergistic directional instruction set,247,1990
102,Persevering well-modulated time-frame,269,1989
103,Extended empowering array,141,1988
104,Integrated executive archive,274,1993
105,Secured maximized encryption,416,1992
106,Reactive empowering capability,96,2004
107,Up-sized bi-directional implementation,227,1981
108,Managed leadingedge protocol,379,2014
109,Business-focused actuating challenge,39,1986
110,Focused bandwidth-monitored concept,302,2000
111,Function-based bottom-line info-mediaries,500,1997
112,Grass-roots systemic emulation,29,1982
113,Managed mobile monitoring,446,2021
114,Exclusive homogeneous knowledge user,497,2018
115,Customer-focused executive functionalities,477,2020
116,Multi-layered maximized encryption,318,1990
117,Public-key fault-tolerant leverage,245,2018
118,Universal optimal solution,236,2003
119,Assimilated systematic challenge,185,1998
120,Stand-alone 24hour methodology,272,1983
121,Virtual mission-critical conglomeration,440,2005
122,Centralized attitude-oriented benchmark,236,2017
123,Right-sized heuristic installation,239,2021
124,Extended national hub,377,2011
125,Reverse-engineered intangible focus group,266,2018
126,Right-sized intangible hub,414,2024
127,Operative actuating open architecture,409,2015
128,Business-focused system-worthy concept,359,2019
129,Cross-platform multi-state monitoring,340,2016
130,Focused value-added knowledgebase,389,2012
131,Compatible upward-trending policy,65,2015
132,Monitored intermediate architecture,478,1982
133,Synchronized exuding hardware,177,1988
134,Stand-alone asymmetric middleware,3,1987
135,Managed directional application,429,2012
136,Self-enabling human-resource firmware,142,1985
137,Phased interactive functionalities,376,2020
138,De-engineered encompassing middleware,158,2018
139,Digitized even-keeled access,498,1983
140,Operative encompassing ability,324,1992
141,Progressive fault-tolerant budgetary management,146,1981
142,Pre-emptive disintermediate hub,446,1984
143,Focused bifurcated methodology,293,2023
144,Team-oriented scalable process improvement,153,2006
145,Cloned 4thgeneration help-desk,432,2011
146,Quality-focused homogeneous application,193,2000
147,Centralized client-server Graphical User Interface,437,1987
148,Expanded directional firmware,494,2017
149,Open-source demand-driven info-mediaries,463,1987
150,Reduced multi-state moratorium,73,1982
151,Polarized full-range archive,399,2023
152,Cloned multi-state orchestration,305,1982
153,Devolved bi-directional middleware,377,2001
154,Organized multimedia solution,344,1985
155,Profit-focused system-worthy contingency,452,1981
156,Persevering full-range customer loyalty,140,2002
157,Configurable value-added leverage,187,2023
158,Horizontal zero-defect firmware,293,1981
159,Quality-focused grid-enabled database,61,2017
160,Organic hybrid Graphical User Interface,485,1996
161,Cloned bandwidth-monitored toolset,427,2014
162,Function-based national extranet,380,2013
163,Switchable stable hardware,198,2002
164,Synergized mobile portal,295,2009
165,Centralized 4thgeneration Internet solution,440,1987
166,Synchronized zero-defect customer loyalty,319,2001
167,Synergistic demand-driven info-mediaries,302,2023
168,Adaptive bi-directional knowledge user,344,2015
169,Seamless zero-defect benchmark,11,1984
170,Customer-focused modular monitoring,62,1992
171,Re-engineered heuristic application,333,2008
172,Multi-channeled real-time attitude,226,2010
173,Digitized 3rdgeneration open system,153,1995
174,Vision-oriented scalable adapter,199,2021
175,Sharable system-worthy intranet,52,2009
176,Grass-roots regional function,260,1995
177,Exclusive asymmetric methodology,59,1991
178,Horizontal discrete utilization,72,1996
179,Profound high-level analyzer,148,1995
180,Digitized 5thgeneration knowledgebase,349,1991
181,Focused incremental knowledgebase,63,1987
182,Centralized asynchronous firmware,310,1999
183,Monitored real-time capacity,373,1982
184,Configurable empowering task-force,243,1995
185,Realigned mission-critical encoding,493,2009
186,Networked leadingedge neural-net,366,2024
187,Balanced user-facing monitoring,330,2002
188,Optimized real-time challenge,107,2007
189,Pre-emptive grid-enabled architecture,226,2019
190,Expanded zero tolerance data-warehouse,313,1984
191,Multi-channeled solution-oriented circuit,218,1999
192,Fundamental eco-centric encoding,425,2019
193,Expanded actuating ability,241,2023
194,De-engineered transitional superstructure,259,1980
195,Pre-emptive mobile groupware,376,2009
196,Compatible heuristic capability,262,2000
197,De-engineered systemic contingency,5,1999
198,Multi-channeled next generation secured line,261,1985
199,Vision-oriented asymmetric task-force,54,2001
200,Reverse-engineered bottom-line emulation,47,1997
201,User-friendly demand-driven matrices,215,1987
202,Face-to-face 24/7 frame,177,2018
203,Managed incremental portal,9,2011
204,Robust dedicated projection,99,2012
205,Organized context-sensitive website,20,1995
206,Fundamental explicit workforce,378,1991
207,Reverse-engineered 4thgeneration flexibility,241,2017
208,Self-enabling even-keeled adapter,61,2013
209,Monitored bandwidth-monitored groupware,379,1993
210,Organized analyzing methodology,490,2015
211,Adaptive background contingency,419,2012
212,Total intangible monitoring,178,2002
213,Stand-alone even-keeled access,338,2024
214,Innovative system-worthy superstructure,62,1981
215,Focused solution-oriented infrastructure,145,2020
216,Streamlined content-based info-mediaries,216,2000
217,Grass-roots exuding adapter,3,1981
218,Polarized object-oriented project,160,2006
219,Function-based uniform flexibility,227,1988
220,Quality-focused value-added database,486,1980
221,Intuitive well-modulated middleware,269,1990
222,Reactive coherent concept,120,1982
223,Exclusive secondary orchestration,381,2002
224,Digitized interactive orchestration,495,2005
225,Virtual regional interface,89,1983
226,Balanced encompassing functionalities,329,1997
227,Self-enabling logistical parallelism,68,1985
228,Virtual analyzing contingency,398,2014
229,Exclusive intermediate array,357,2001
230,Vision-oriented stable toolset,98,2022
231,Secured intangible frame,267,1994
232,Vision-oriented methodical intranet,105,2001
233,Ergonomic multi-tasking info-mediaries,440,2016
234,Mandatory 3rdgeneration secured line,323,2021
235,Phased homogeneous adapter,123,1991
236,Persistent real-time benchmark,476,2021
237,Managed zero administration product,29,2017
238,Secured local orchestration,137,1997
239,Synergized 6thgeneration database,195,2024
240,Managed next generation superstructure,409,2014
241,Operative transitional approach,226,2009
242,Virtual national matrices,332,2003
243,Expanded actuating standardization,170,2021
244,Virtual incremental info-mediaries,9,2009
245,Digitized eco-centric project,463,1993
246,Multi-tiered systemic process improvement,40,1985
247,Synchronized methodical analyzer,25,1982
248,Enterprise-wide empowering intranet,261,1995
249,Organic client-driven project,395,1986
250,Public-key dedicated encryption,443,1993
251,Streamlined responsive contingency,226,1988
252,Programmable foreground structure,472,1994
253,Quality-focused regional process improvement,124,2000
254,Monitored national monitoring,463,2014
255,Extended asynchronous artificial intelligence,38,1981
256,Up-sized static time-frame,328,2006
257,Face-to-face heuristic implementation,251,1981
258,Digitized directional solution,389,2014
259,Visionary asymmetric application,176,1997
260,Inverse fault-tolerant Internet solution,90,1993
261,Profit-focused motivating capacity,402,1999
262,Customizable radical focus group,454,1997
263,Synchronized solution-oriented orchestration,37,1989
264,Implemented dynamic firmware,316,2004
265,Vision-oriented value-added capacity,176,1981
266,Vision-oriented dynamic projection,461,2004
267,Expanded actuating artificial intelligence,284,2012
268,Decentralized hybrid hierarchy,453,2015
269,Balanced demand-driven access,461,2010
270,Cross-group background function,81,1993
271,Down-sized systemic knowledge user,114,1980
272,Managed coherent moratorium,40,1995
273,Grass-roots eco-centric flexibility,301,1982
274,Centralized interactive system engine,224,2014
275,Devolved foreground process improvement,318,2020
276,Robust transitional conglomeration,349,1985
277,Cross-platform composite hierarchy,115,2004
278,Future-proofed context-sensitive benchmark,186,1992
279,Realigned cohesive website,323,2013
280,Proactive holistic core,56,1987
281,Total regional solution,40,2000
282,Synergized tangible info-mediaries,354,2013
283,Implemented interactive approach,40,1983
284,Innovative analyzing complexity,347,2004
285,Seamless regional architecture,461,1994
286,Compatible value-added ability,237,1983
287,Reduced scalable superstructure,289,2024
288,Monitored tangible interface,262,1991
289,Face-to-face client-server workforce,216,2011
290,Multi-lateral user-facing database,147,2011
291,Robust 4thgeneration hierarchy,336,2007
292,Pre-emptive discrete functionalities,168,1992
293,Object-based 4thgeneration neural-net,92,2010
294,Digitized client-server hierarchy,353,1993
295,Multi-tiered explicit utilization,59,1999
296,Cross-group incremental instruction set,59,1997
297,Digitized local model,304,2008
298,Function-based solution-oriented frame,169,1985
299,Fundamental bottom-line product,269,2011
300,Synergized contextually-based Internet solution,363,2008
301,Up-sized demand-driven database,45,2022
302,Ergonomic tangible forecast,345,1981
303,Universal value-added frame,181,2002
304,Cross-group logistical utilization,170,1998
305,Universal user-facing paradigm,356,2010
306,Robust motivating project,191,1984
307,Visionary object-oriented hub,155,1998
308,Operative responsive pricing structure,422,2013
309,Organic explicit artificial intelligence,188,1989
310,Reverse-engineered static interface,7,2004
311,User-centric bifurcated synergy,133,1981
312,Persevering multi-tasking function,235,1990
313,Visionary client-driven synergy,45,2010
314,Monitored optimizing intranet,314,1994
315,Configurable national system engine,249,1988
316,Cross-platform demand-driven array,499,2002
317,Grass-roots exuding policy,31,1998
318,Secured encompassing attitude,23,1988
319,Profit-focused 4thgeneration Internet solution,426,2014
320,Synergized mission-critical methodology,394,2000
321,Configurable optimizing orchestration,160,1988
322,Function-based contextually-based time-frame,363,2007
323,Advanced cohesive solution,437,1986
324,Future-proofed real-time parallelism,158,1995
325,Focused dynamic standardization,39,1995
326,Networked actuating protocol,415,2012
327,Versatile zero-defect Graphical User Interface,82,1983
328,Virtual bifurcated moderator,356,1983
329,Fundamental intangible project,258,2018
330,Horizontal directional workforce,206,2019
331,Right-sized background emulation,77,1996
332,Progressive multi-state extranet,477,2016
333,Organized exuding Internet solution,12,2018
334,Synergistic multimedia project,295,2008
335,Streamlined needs-based workforce,450,2015
336,Right-sized asynchronous leverage,224,2017
337,Organized zero-defect focus group,13,2018
338,Cross-group next generation implementation,46,2016
339,Implemented zero-defect info-mediaries,155,2014
340,Fully-configurable non-volatile intranet,113,1986
341,Integrated real-time productivity,233,2006
342,Synergistic user-facing software,17,2007
343,Enhanced contextually-based middleware,360,2001
344,Centralized mission-critical concept,223,1993
345,Networked heuristic methodology,354,1986
346,Reverse-engineered background instruction set,188,2016
347,Future-proofed impactful projection,448,2001
348,Reactive analyzing knowledgebase,344,1984
349,Digitized secondary success,365,1981
350,Up-sized needs-based methodology,163,2006
351,Extended holistic model,496,2000
352,Compatible client-server capability,326,2017
353,Up-sized system-worthy database,467,1994
354,Realigned systematic leverage,414,2000
355,Reverse-engineered 24/7 encryption,455,1989
356,Secured zero administration hardware,74,2002
357,Fully-configurable foreground utilization,233,2018
358,Reactive composite extranet,224,1984
359,Fully-configurable clear-thinking leverage,482,1980
360,Multi-channeled 3rdgeneration protocol,319,1992
361,Fully-configurable mobile service-desk,412,2000
362,Visionary user-facing workforce,60,2005
363,Secured asymmetric encoding,335,2024
364,Face-to-face fault-tolerant matrices,222,2000
365,Sharable radical challenge,37,1997
366,Re-contextualized zero administration hub,477,2016
367,Open-architected 24hour array,278,2024
368,Sharable zero administration extranet,196,2011
369,Robust uniform artificial intelligence,404,2015
370,Customizable next generation parallelism,352,1996
371,Profit-focused executive matrix,484,2014
372,Compatible grid-enabled Internet solution,242,1990
373,Extended disintermediate software,324,2000
374,Total grid-enabled project,219,2005
375,Phased methodical installation,192,1983
376,Operative zero-defect instruction set,17,2013
377,Upgradable composite Graphic Interface,12,1997
378,Assimilated demand-driven attitude,406,2019
379,Organized mission-critical extranet,401,2014
380,Business-focused cohesive Local Area Network,394,2020
381,Fundamental 3rdgeneration open system,374,2008
382,Progressive radical archive,193,2008
383,Advanced zero-defect conglomeration,22,2017
384,Optimized systematic encryption,474,2021
385,Public-key encompassing leverage,120,2000
386,Proactive static application,210,2021
387,Vision-oriented client-driven Graphical User Interface,306,1992
388,Optimized 5thgeneration customer loyalty,270,2020
389,Intuitive coherent productivity,192,1996
390,Networked multi-state synergy,175,1988
391,Proactive contextually-based strategy,285,2020
392,Seamless holistic superstructure,204,1980
393,Open-source real-time system engine,164,1981
394,Horizontal tangible capacity,251,2008
395,Universal transitional open system,227,2012
396,Extended high-level matrix,436,1989
397,Optimized human-resource solution,381,2019
398,Compatible object-oriented forecast,460,2000
399,Versatile encompassing extranet,7,2007
400,Vision-oriented discrete challenge,29,1990
401,Streamlined global matrices,395,2013
402,Proactive actuating process improvement,33,1987
403,Open-source eco-centric projection,134,2001
404,Face-to-face fault-tolerant complexity,367,1987
405,Re-engineered global framework,79,1994
406,Enhanced multi-tasking leverage,416,1996
407,Ameliorated bottom-line function,435,2002
408,Compatible holistic ability,459,2003
409,Visionary full-range knowledge user,58,2024
410,Re-contextualized asynchronous Graphic Interface,471,1998
411,Managed needs-based application,26,1984
412,Ameliorated demand-driven application,482,2011
413,Visionary holistic complexity,430,2023
414,Universal real-time Graphic Interface,226,1980
415,Seamless eco-centric throughput,285,2002
416,Decentralized transitional firmware,4,2016
417,Assimilated user-facing alliance,465,1987
418,Optional neutral intranet,99,1992
419,Ameliorated non-volatile emulation,397,1987
420,Quality-focused dedicated structure,489,2002
421,Expanded stable capacity,39,2022
422,Stand-alone executive Internet solution,271,1980
423,Configurable cohesive database,375,2024
424,Streamlined dedicated Graphical User Interface,285,2003
425,Ameliorated disintermediate structure,157,2014
426,Open-source intermediate project,75,2003
427,Multi-layered transitional functionalities,372,1996
428,Secured intangible support,288,1984
429,Realigned static utilization,130,1999
430,Synergistic exuding leverage,175,2000
431,Cross-platform multimedia Graphical User Interface,462,2019
432,Configurable tertiary complexity,84,2010
433,Programmable clear-thinking intranet,22,2015
434,Secured content-based definition,459,1990
435,Progressive contextually-based parallelism,27,1994
436,Innovative cohesive knowledgebase,195,1998
437,Optimized optimal support,337,1986
438,Progressive explicit project,382,2007
439,User-friendly zero tolerance initiative,236,2022
440,Focused context-sensitive website,440,1984
441,Implemented directional collaboration,92,1984
442,Triple-buffered impactful challenge,477,2009
443,Focused responsive system engine,21,2011
444,Operative human-resource forecast,303,1987
445,Universal web-enabled core,464,1989
446,Total background moratorium,357,2017
447,Future-proofed static collaboration,443,2011
448,Vision-oriented optimizing product,84,2007
449,Persevering next generation collaboration,262,1996
450,Reactive contextually-based task-force,147,2010
451,Diverse 4thgeneration approach,441,1987
452,Open-source interactive process improvement,453,2019
453,Visionary 6thgeneration flexibility,387,2004
454,Profit-focused background database,257,1988
455,Horizontal bifurcated forecast,58,1981
456,Customizable incremental analyzer,380,1994
457,Distributed intermediate core,422,1982
458,Enterprise-wide transitional moratorium,15,2015
459,Focused clear-thinking pricing structure,162,1983
460,Vision-oriented 3rdgeneration policy,445,1993
461,Profit-focused modular adapter,163,2020
462,Ergonomic 6thgeneration function,320,2020
463,Universal contextually-based implementation,497,2004
464,De-engineered multi-tasking budgetary management,281,1989
465,Inverse directional monitoring,280,2000
466,Universal mission-critical knowledgebase,12,2015
467,User-centric reciprocal matrices,274,1991
468,Open-architected upward-trending firmware,271,2006
469,Multi-layered holistic approach,492,2019
470,Polarized analyzing methodology,208,1981
471,Inverse zero tolerance secured line,27,1992
472,Fully-configurable maximized neural-net,72,2011
473,Exclusive neutral synergy,60,2010
474,Extended holistic artificial intelligence,430,1995
475,Cross-group web-enabled utilization,473,2011
476,Synchronized systemic time-frame,145,2011
477,Multi-channeled mobile alliance,93,2013
478,Self-enabling secondary middleware,309,1990
479,Face-to-face intangible utilization,8,1989
480,Progressive mobile Graphic Interface,79,1994
481,Reduced fault-tolerant time-frame,27,1996
482,Customizable bifurcated project,174,2019
483,Focused bandwidth-monitored instruction set,50,1997
484,Ergonomic scalable service-desk,500,1988
485,Stand-alone uniform challenge,199,2004
486,Total non-volatile knowledge user,387,2019
487,Triple-buffered bottom-line task-force,349,1993
488,User-centric context-sensitive workforce,448,2004
489,Synergized radical methodology,428,2001
490,Operative solution-oriented database,181,2009
491,Automated directional core,24,1999
492,Centralized bifurcated synergy,316,2000
493,Cross-platform attitude-oriented open system,378,2023
494,Business-focused object-oriented emulation,387,2011
495,Seamless next generation service-desk,404,2000
496,Secured 24hour concept,46,2014
497,Centralized methodical firmware,15,2011
498,Inverse analyzing parallelism,153,2009
499,Future-proofed cohesive throughput,222,2018
