id,name,artist_id,release_year
500,Multi-channeled executive archive,206,1991
501,Implemented heuristic strategy,455,2020
502,Ergonomic upward-trending contingency,273,1997
503,Seamless context-sensitive complexity,382,2000
504,Ameliorated scalable info-mediaries,236,1992
505,Visionary high-level adapter,340,2000
506,Customizable eco-centric matrix,228,1987
507,Optimized 6thgeneration access,9,2019
508,Adaptive disintermediate hardware,166,1986
509,Diverse tertiary access,432,2002
510,Grass-roots clear-thinking standardization,444,2023
511,Self-enabling 24/7 framework,319,2011
512,Progressive tertiary infrastructure,214,1990
513,Expanded foreground toolset,117,2001
514,Proactive full-range contingency,386,2001
515,Pre-emptive grid-enabled process improvement,344,2022
516,Advanced heuristic groupware,72,2004
517,Switchable tertiary collaboration,395,2001
518,Decentralized responsive knowledgebase,64,2007
519,Persistent systematic project,205,2008
520,Enhanced high-level parallelism,209,1992
521,Fully-configurable secondary budgetary management,72,1997
522,Cross-platform homogeneous monitoring,277,1981
523,Intuitive zero-defect complexity,274,2008
524,Stand-alone modular protocol,478,2000
525,Vision-oriented clear-thinking matrices,320,1994
526,Inverse optimal superstructure,338,2006
527,Future-proofed attitude-oriented framework,366,2010
528,Automated actuating synergy,495,1994
529,Profound dynamic hardware,95,2002
530,Ameliorated tangible algorithm,166,2003
531,Secured responsive monitoring,32,2023
532,Digitized neutral adapter,11,1992
533,Ameliorated bi-directional projection,301,2001
534,Adaptive 24/7 capability,217,2022
535,Team-oriented intangible website,289,2016
536,Synchronized modular migration,102,2012
537,Switchable static protocol,425,1982
538,Cloned maximized policy,392,1998
539,Expanded leadingedge open system,267,2002
540,Expanded dedicated policy,214,2008
541,Implemented intermediate knowledgebase,179,2009
542,Fully-configurable composite hierarchy,88,2018
543,Vision-oriented analyzing archive,41,2023
544,Implemented intangible productivity,401,2004
545,User-centric motivating ability,76,2016
546,Public-key disintermediate firmware,377,1987
547,Synergistic logistical interface,46,2021
548,Switchable 6thgeneration middleware,160,1995
549,Proactive system-worthy access,463,1987
550,Visionary multi-state approach,80,1980
551,Integrated optimizing ability,310,2023
552,Multi-tiered local policy,86,1984
553,Mandatory needs-based contingency,92,1982
554,Ameliorated 24hour concept,148,1980
555,Robust systemic instruction set,161,1983
556,Networked disintermediate alliance,202,2019
557,Pre-emptive regional website,424,2014
558,Focused 3rdgeneration concept,416,2011
559,Phased bottom-line firmware,242,2021
560,Phased exuding Graphical User Interface,353,2013
561,Multi-tiered scalable focus group,2,2022
562,Compatible bandwidth-monitored alliance,225,2004
563,Centralized exuding moratorium,289,1989
564,Enhanced leadingedge adapter,233,2000
565,Extended national definition,461,2018
566,Automated heuristic encoding,414,2006
567,Fundamental transitional hierarchy,417,2006
568,Exclusive scalable standardization,77,1981
569,Compatible asymmetric access,116,2020
570,Assimilated object-oriented success,154,1992
571,Enhanced optimizing moderator,406,1988
572,Distributed radical Graphical User Interface,103,2015
573,Front-line systematic extranet,194,2001
574,Reduced hybrid concept,166,2021
575,Devolved stable initiative,359,2005
576,Front-line actuating approach,90,1991
577,Multi-layered value-added circuit,174,1996
578,Organic zero administration model,122,1993
579,Focused zero tolerance focus group,498,1993
580,Customer-focused 6thgeneration circuit,143,2013
581,Operative local secured line,482,1999
582,Reverse-engineered system-worthy matrices,106,1990
583,Virtual directional knowledge user,375,1995
584,Expanded static encryption,428,2010
585,Team-oriented radical artificial intelligence,305,1985
586,Enhanced context-sensitive service-desk,360,1998
587,Reactive bandwidth-monitored intranet,459,2016
588,Seamless bi-directional moratorium,317,1983
589,Compatible 5thgeneration help-desk,451,1983
590,Open-architected exuding Internet solution,123,1999
591,Monitored grid-enabled strategy,390,1989
592,Decentralized composite open system,9,2003
593,Progressive multimedia circuit,262,2014
594,Public-key coherent encryption,73,2005
595,Secured demand-driven pricing structure,359,2016
596,Ameliorated 6thgeneration intranet,223,2017
597,Multi-lateral systematic encryption,416,2000
598,Business-focused context-sensitive process improvement,41,2019
599,Face-to-face real-time workforce,370,2018
600,Pre-emptive eco-centric instruction set,204,2000
601,Optional real-time core,264,1989
602,Assimilated high-level portal,328,2017
603,Public-key exuding database,178,1983
604,Customizable asynchronous emulation,348,2024
605,Switchable coherent firmware,318,1999
606,Public-key homogeneous circuit,84,1996
607,Profit-focused discrete paradigm,318,1986
608,Synergistic 24/7 orchestration,111,1983
609,Face-to-face solution-oriented intranet,251,2008
610,Multi-tiered full-range project,383,1993
611,Universal bi-directional concept,7,1982
612,Vision-oriented transitional productivity,459,2003
613,Pre-emptive 5thgeneration process improvement,84,2016
614,Expanded composite attitude,208,1995
615,Business-focused foreground ability,388,1983
616,Cross-group discrete structure,390,2003
617,Ergonomic object-oriented hub,314,2013
618,Adaptive leadingedge interface,22,2009
619,Streamlined reciprocal workforce,410,1997
620,Programmable tertiary throughput,383,1998
621,Total attitude-oriented definition,3,2010
622,Reverse-engineered methodical open architecture,127,1998
623,Up-sized full-range application,297,1998
624,Profit-focused system-worthy interface,188,2001
625,Synchronized empowering knowledge user,362,2003
626,Adaptive value-added methodology,14,2024
627,Optional well-modulated array,459,1991
628,Exclusive zero tolerance throughput,466,2009
629,Secured leadingedge contingency,12,2017
630,Quality-focused 3rdgeneration implementation,87,2010
631,Multi-lateral 4thgeneration data-warehouse,12,2015
632,Advanced solution-oriented analyzer,397,1998
633,Optimized global toolset,25,2024
634,Virtual disintermediate product,301,2015
635,Optional interactive frame,243,2009
636,Expanded mission-critical website,122,2012
637,Digitized clear-thinking archive,147,1997
638,Compatible 24/7 website,55,2007
639,Fundamental cohesive info-mediaries,238,1990
640,Balanced fault-tolerant middleware,356,2024
641,Quality-focused intermediate archive,173,2012
642,Innovative attitude-oriented throughput,392,1996
643,Balanced didactic definition,221,1985
644,Realigned grid-enabled extranet,119,1983
645,Pre-emptive fault-tolerant conglomeration,309,1999
646,Ergonomic systemic Local Area Network,183,2006
647,Persistent executive monitoring,288,1994
648,Customer-focused holistic hub,307,1985
649,Multi-channeled 4thgeneration strategy,300,1993
650,Enterprise-wide value-added benchmark,82,1990
651,Ergonomic mobile toolset,454,2018
652,Ergonomic asymmetric access,402,1988
653,Down-sized 4thgeneration secured line,211,2005
654,Reduced 24/7 knowledge user,150,1995
655,De-engineered fault-tolerant capability,37,1984
656,Open-architected multi-tasking capacity,352,1989
657,Inverse multimedia matrix,312,1982
658,Inverse bandwidth-monitored benchmark,361,1992
659,Quality-focused attitude-oriented approach,59,2022
660,De-engineered client-driven database,131,2009
661,Exclusive zero administration alliance,412,2024
662,Triple-buffered disintermediate complexity,202,1985
663,Secured bandwidth-monitored frame,243,1996
664,Synergized fresh-thinking budgetary management,35,2024
665,Centralized optimizing Local Area Network,445,1998
666,Cross-platform 3rdgeneration synergy,93,2021
667,Distributed reciprocal Internet solution,438,2014
668,Reactive impactful pricing structure,447,2005
669,Multi-channeled 5thgeneration portal,207,1984
670,Phased transitional parallelism,353,2008
671,Visionary next generation superstructure,391,2016
672,Progressive neutral help-desk,332,1999
673,Adaptive fault-tolerant structure,305,2000
674,Face-to-face multimedia solution,350,1989
675,Organic disintermediate extranet,213,1984
676,Upgradable analyzing matrices,159,2015
677,Horizontal multi-tasking matrices,442,1985
678,Phased human-resource archive,445,2005
679,Implemented even-keeled ability,24,1983
680,Visionary even-keeled task-force,404,2018
681,Persistent discrete info-mediaries,293,2018
682,Stand-alone homogeneous workforce,4,2014
683,Digitized contextually-based application,220,1980
684,Digitized global standardization,364,2003
685,Face-to-face user-facing extranet,382,2015
686,Profound value-added function,20,1985
687,Front-line attitude-oriented solution,444,2020
688,Adaptive systemic Internet solution,152,2023
689,User-centric 24/7 function,50,2010
690,Up-sized local process improvement,177,1999
691,Persevering actuating focus group,435,2003
692,Phased disintermediate open system,96,2004
693,User-centric disintermediate process improvement,105,2015
694,Ameliorated heuristic system engine,420,2000
695,Inverse tangible Graphic Interface,250,2009
696,Persevering 4thgeneration forecast,117,2003
697,Self-enabling eco-centric support,354,2023
698,Open-source clear-thinking middleware,228,2021
699,Phased scalable structure,66,2009
700,Centralized holistic throughput,335,2001
701,Decentralized mobile middleware,418,2007
702,Advanced radical definition,420,1986
703,Profit-focused impactful projection,262,2014
704,Re-engineered impactful parallelism,295,2007
705,Proactive local groupware,426,1993
706,Realigned actuating toolset,243,1989
707,Upgradable multi-state hierarchy,371,1995
708,Proactive scalable array,186,1995
709,Intuitive discrete task-force,246,2010
710,Reverse-engineered 5thgeneration instruction set,125,2021
711,Team-oriented object-oriented info-mediaries,268,2004
712,Inverse grid-enabled monitoring,131,1992
713,Inverse reciprocal complexity,237,1985
714,Operative discrete portal,18,2023
715,Reactive well-modulated parallelism,40,1988
716,Right-sized multimedia open system,21,2024
717,Sharable exuding Graphical User Interface,399,2015
718,Managed neutral info-mediaries,225,2022
719,Phased needs-based attitude,355,1999
720,Configurable foreground budgetary management,282,1997
721,Managed fresh-thinking utilization,8,2022
722,Front-line foreground moratorium,100,2000
723,Persistent mobile firmware,240,1983
724,Cloned systemic workforce,478,2012
725,Seamless coherent focus group,87,2006
726,Optional actuating hardware,298,1986
727,Advanced multi-tasking initiative,428,1985
728,Cross-platform intermediate benchmark,14,1994
729,Distributed fresh-thinking conglomeration,334,1997
730,Managed user-facing approach,2,2011
731,De-engineered optimizing software,375,1990
732,Enterprise-wide 6thgeneration challenge,293,1999
733,Fundamental object-oriented forecast,325,2003
734,Versatile impactful initiative,422,1994
735,Team-oriented human-resource open architecture,493,1986
736,Right-sized neutral infrastructure,41,2000
737,Virtual radical utilization,318,2021
738,User-centric uniform utilization,316,2005
739,Up-sized system-worthy Graphical User Interface,381,2023
740,Innovative 3rdgeneration circuit,111,1993
741,Adaptive responsive artificial intelligence,14,2016
742,Polarized modular architecture,231,2000
743,Persevering maximized strategy,473,1997
744,Universal content-based open architecture,84,1984
745,Focused maximized instruction set,130,1982
746,Re-contextualized logistical Internet solution,231,2002
747,Streamlined optimal framework,326,2005
748,User-friendly hybrid hardware,145,2016
749,Organized mobile circuit,379,2003
750,Intuitive discrete standardization,345,1998
751,Synchronized modular moratorium,28,2004
752,User-centric client-driven access,66,2000
753,Public-key stable project,163,1991
754,Grass-roots responsive migration,229,2020
755,Ameliorated high-level project,261,2012
756,Business-focused clear-thinking workforce,449,1983
757,Managed cohesive intranet,424,2021
758,Upgradable 5thgeneration info-mediaries,460,1986
759,Profound directional success,440,2001
760,Multi-channeled executive encryption,164,2012
761,Streamlined disintermediate hierarchy,301,1996
762,Implemented impactful complexity,407,2003
763,Organized didactic emulation,303,2013
764,Switchable empowering functionalities,287,2007
765,Adaptive incremental artificial intelligence,395,2022
766,Exclusive interactive Local Area Network,10,2020
767,Profound neutral process improvement,195,2018
768,Intuitive exuding ability,118,2001
769,Inverse uniform budgetary management,270,1996
770,Upgradable high-level neural-net,80,2013
771,Robust responsive info-mediaries,458,1985
772,Configurable uniform matrix,93,1985
773,Future-proofed contextually-based strategy,266,2013
774,Mandatory empowering methodology,332,1980
775,Face-to-face client-server capability,350,1989
776,Versatile next generation help-desk,361,2000
777,Extended asynchronous attitude,257,1984
778,Visionary asymmetric data-warehouse,133,1981
779,Business-focused background emulation,276,2001
780,Ameliorated empowering process improvement,264,1981
781,Configurable holistic contingency,171,1989
782,Stand-alone systemic benchmark,460,2013
783,Profound hybrid middleware,1,1995
784,Triple-buffered real-time firmware,313,2018
785,Implemented zero tolerance matrix,64,2001
786,Reactive clear-thinking open architecture,374,1991
787,Centralized well-modulated Graphical User Interface,468,2003
788,Expanded demand-driven superstructure,284,2019
789,Multi-channeled radical benchmark,121,2017
790,Monitored transitional adapter,107,1989
791,Adaptive zero administration infrastructure,421,2014
792,Quality-focused homogeneous utilization,175,2011
793,Monitored transitional matrix,485,1986
794,Ameliorated national projection,204,2000
795,Virtual modular function,165,1999
796,Robust context-sensitive firmware,305,2005
797,Phased multimedia collaboration,497,1983
798,Synergized contextually-based interface,120,2001
799,Reverse-engineered tangible software,44,1994
800,Devolved optimal function,312,2019
801,Multi-layered attitude-oriented core,156,2000
802,Cross-platform 5thgeneration challenge,367,1994
803,Re-engineered value-added approach,207,2001
804,Centralized needs-based extranet,390,2007
805,Front-line directional moderator,108,1993
806,Proactive foreground support,251,2006
807,Grass-roots maximized pricing structure,445,2020
808,Extended bottom-line array,404,2019
809,Down-sized stable Internet solution,370,2007
810,User-centric zero administration system engine,334,2005
811,Multi-layered scalable protocol,130,1981
812,Innovative fresh-thinking circuit,457,2004
813,Virtual multi-state benchmark,293,1982
814,Innovative user-facing process improvement,20,1987
815,Intuitive zero tolerance challenge,282,2023
816,Secured homogeneous info-mediaries,285,2012
817,Versatile system-worthy help-desk,1,2021
818,Configurable upward-trending emulation,119,2014
819,Exclusive secondary focus group,35,1985
820,Cross-platform zero-defect customer loyalty,198,2018
821,Networked grid-enabled superstructure,485,2002
822,Universal stable complexity,245,2004
823,Customer-focused static initiative,59,2022
824,Mandatory leadingedge policy,325,1998
825,Configurable 24hour forecast,161,1984
826,Digitized grid-enabled workforce,497,1990
827,Universal executive leverage,179,1991
828,Object-based executive application,206,1989
829,Total zero-defect throughput,12,1987
830,Face-to-face transitional adapter,490,2003
831,Reverse-engineered client-driven challenge,276,2007
832,Re-engineered content-based frame,181,2020
833,Team-oriented directional standardization,242,2015
834,Total directional flexibility,216,2016
835,Balanced dynamic concept,251,2000
836,Customer-focused demand-driven collaboration,299,1987
837,Streamlined national instruction set,126,1988
838,Enhanced didactic migration,482,1994
839,Robust 6thgeneration moderator,217,2019
840,Assimilated zero administration initiative,306,1997
841,Versatile tertiary product,285,2021
842,Switchable intermediate focus group,185,1999
843,Function-based zero tolerance open architecture,39,1985
844,Multi-layered neutral success,223,1991
845,Universal logistical paradigm,184,1981
846,Innovative clear-thinking encoding,495,1986
847,Customer-focused regional functionalities,427,1995
848,Managed solution-oriented knowledgebase,178,1982
849,Front-line actuating adapter,407,2024
850,User-centric holistic Internet solution,428,1982
851,Reactive bandwidth-monitored function,294,2006
852,Synergized real-time installation,340,2022
853,Organic mobile success,151,2019
854,Networked bandwidth-monitored archive,384,2017
855,Exclusive uniform time-frame,126,2012
856,Devolved needs-based Graphical User Interface,301,2007
857,Customer-focused explicit matrices,308,1980
858,Adaptive bi-directional focus group,336,1987
859,Expanded client-driven capacity,434,2016
860,Managed system-worthy alliance,234,2011
861,Fundamental directional application,380,2022
862,Multi-tiered methodical core,375,2016
863,Mandatory national firmware,8,1983
864,Realigned composite benchmark,498,2009
865,Synchronized zero administration neural-net,341,1985
866,Operative client-driven capacity,129,1998
867,Ameliorated upward-trending challenge,264,2011
868,Virtual scalable frame,157,1988
869,Self-enabling leadingedge hierarchy,352,1991
870,Polarized motivating instruction set,358,1990
871,User-friendly disintermediate forecast,5,1995
872,Multi-lateral context-sensitive circuit,495,1980
873,Intuitive incremental structure,86,2024
874,Distributed well-modulated leverage,175,2000
875,Robust didactic toolset,290,2009
876,Networked tertiary matrices,193,1992
877,Pre-emptive mission-critical strategy,311,2013
878,Upgradable systematic array,119,1983
879,Decentralized modular website,218,2007
880,Face-to-face fault-tolerant toolset,427,2017
881,Automated mobile benchmark,458,2010
882,Adaptive didactic core,414,2006
883,Advanced didactic monitoring,114,1984
884,Extended zero tolerance moderator,466,2004
885,Robust tertiary utilization,145,1982
886,Multi-tiered intangible superstructure,26,2012
887,Re-contextualized full-range system engine,136,1983
888,Seamless homogeneous synergy,303,2004
889,Synergistic encompassing software,232,1999
890,Managed uniform customer loyalty,369,2013
891,Implemented foreground website,76,2005
892,Cross-platform global open architecture,475,1984
893,Public-key interactive installation,328,2014
894,Reactive radical attitude,345,2007
895,Progressive non-volatile customer loyalty,302,2008
896,De-engineered composite open architecture,452,1988
897,Grass-roots tertiary support,289,2017
898,Virtual explicit data-warehouse,1,1985
899,Multi-tiered optimizing process improvement,147,1998
900,Quality-focused zero administration data-warehouse,287,2023
901,Pre-emptive regional leverage,464,1990
902,Inverse secondary orchestration,142,1981
903,Robust mobile synergy,53,2023
904,Phased stable focus group,304,2023
905,Business-focused transitional help-desk,69,1988
906,Managed fresh-thinking Graphical User Interface,361,2000
907,Seamless zero-defect throughput,90,2003
908,Visionary demand-driven groupware,446,2013
909,Reduced contextually-based moderator,220,2001
910,Inverse directional protocol,450,1982
911,Multi-layered empowering policy,498,1991
912,Team-oriented well-modulated conglomeration,192,2007
913,Quality-focused eco-centric Internet solution,454,2009
914,Progressive neutral software,63,2005
915,Open-source neutral flexibility,73,2000
916,Enterprise-wide foreground website,161,2007
917,Re-contextualized client-server data-warehouse,169,2005
918,User-friendly intermediate interface,89,2012
919,Enterprise-wide multimedia conglomeration,176,2000
920,Polarized didactic data-warehouse,269,2014
921,Compatible 24/7 architecture,73,2013
922,Polarized asynchronous application,245,2020
923,Assimilated interactive Local Area Network,77,1997
924,Synchronized clear-thinking success,159,1990
925,Open-source systemic adapter,489,2002
926,Business-focused executive access,459,2001
927,Re-contextualized uniform migration,324,1996
928,Enhanced regional frame,98,1984
929,Down-sized context-sensitive collaboration,381,2023
930,Grass-roots cohesive capacity,102,1990
931,Face-to-face contextually-based conglomeration,494,2009
932,Networked context-sensitive product,132,1994
933,Future-proofed web-enabled function,102,2006
934,Secured regional complexity,19,2014
935,Focused grid-enabled middleware,454,2012
936,Assimilated bi-directional extranet,482,1999
937,Triple-buffered multi-tasking task-force,82,1995
938,Open-source context-sensitive toolset,397,2013
939,Cross-platform 3rdgeneration open system,489,1981
940,Multi-channeled client-server encryption,279,2014
941,Open-source scalable methodology,339,2019
942,Face-to-face regional open system,365,2007
943,Advanced 4thgeneration flexibility,331,2018
944,Synergistic 24/7 alliance,129,1985
945,Networked zero-defect approach,344,1988
946,Re-engineered 24/7 moderator,310,1999
947,Balanced leadingedge help-desk,455,1980
948,Public-key leadingedge groupware,89,1987
949,Virtual systematic concept,213,2002
950,Switchable asynchronous migration,143,1982
951,Cross-platform grid-enabled moratorium,65,1983
952,Virtual dynamic support,76,2004
953,Cross-group global access,199,2017
954,Reactive heuristic core,143,1994
955,Persistent upward-trending architecture,405,2000
956,Grass-roots 4thgeneration algorithm,403,2014
957,Universal leadingedge Graphical User Interface,316,1993
958,Synergistic encompassing capability,93,2015
959,Right-sized holistic core,473,1991
960,Customer-focused regional methodology,417,1996
961,Devolved heuristic open system,305,2018
962,Public-key tertiary conglomeration,224,1988
963,Switchable real-time service-desk,497,2014
964,Re-engineered bandwidth-monitored service-desk,291,1992
965,Focused multi-state migration,428,1994
966,Quality-focused zero administration complexity,102,1997
967,Vision-oriented intangible toolset,474,2012
968,Realigned dedicated flexibility,267,1985
969,Cross-platform responsive utilization,355,2006
970,Reduced exuding Internet solution,456,2002
971,Customizable human-resource capacity,110,2006
972,Inverse asynchronous extranet,462,2013
973,Business-focused content-based standardization,330,2017
974,Multi-lateral background synergy,450,1993
975,Customizable 6thgeneration infrastructure,430,2015
976,Advanced bandwidth-monitored initiative,265,1987
977,Customizable attitude-oriented productivity,3,2014
978,Advanced methodical adapter,85,1998
979,Face-to-face user-facing firmware,282,2009
980,User-centric transitional methodology,328,1993
981,Customizable 5thgeneration success,304,1999
982,Implemented asynchronous function,450,2004
983,Operative tertiary standardization,454,2019
984,Multi-layered uniform product,412,2003
985,Focused 6thgeneration Internet solution,117,1993
986,Persevering systematic firmware,221,2005
987,Face-to-face methodical flexibility,154,2017
988,Down-sized 3rdgeneration leverage,153,2002
989,Persistent heuristic portal,12,2001
990,Networked dynamic migration,133,1998
991,Multi-channeled exuding ability,482,1982
992,Advanced system-worthy analyzer,304,2021
993,Robust object-oriented model,293,1998
994,Organized regional support,463,1988
995,Persistent background access,300,2007
996,Total exuding secured line,228,1999
997,Integrated explicit capability,271,2024
998,Compatible actuating intranet,43,1986
999,Profound directional portal,432,1993
1000,Fully-configurable object-oriented analyzer,343,1988
